Song,Artist,Album
Black Dog,Led Zeppelin,Led Zeppelin IV (Remastered)
I Just Don't Know What to Do With Myself,The White Stripes,Elephant
Highway to Hell (feat. Steve Vai),2CELLOS,In2ition
Energy,Joe Satriani,What Happens Next
Police Truck,Dead Kennedys,Live At The Deaf Club (live)
"Always with Me, Always with You",Joe Satriani,Surfing with the Alien
Stairway to Heaven,Led Zeppelin,Led Zeppelin IV (Remastered)
Smells Like Teen Spirit,Nirvana,Nevermind
Whole Lotta Love,Led Zeppelin,Led Zeppelin II (Remastered)
Immigrant Song,Led Zeppelin,Led Zeppelin III (Remastered)
"Baby, Please Don't Go",AC/DC,'74 Jailbreak - EP
Lights Out,Royal Blood,How Did We Get So Dark?
Voodoo Child (Slight Return),The Jimi Hendrix Experience,Electric Ladyland
Lake Shore Drive,Aliotta Haynes Jeremiah,"The Rock Room: Singer Songwriter, Vol. 3"
Out ta Get Me,Guns N' Roses,Live Era '87-'93
Think About You,Guns N' Roses,Appetite For Destruction
Mr. Brownstone,Guns N' Roses,Live Era '87-'93
My Michelle,Guns N' Roses,Appetite For Destruction
It's So Easy,Guns N' Roses,Bossa N Roses
I Love LA,Starcrawler,Starcrawler
Fire,The Jimi Hendrix Experience,Winterland (Live)
Love's Gone Again,Starcrawler,Starcrawler
Freedom,Jimi Hendrix,Experience Hendrix: The Best of Jimi Hendrix
Purple Haze,The Jimi Hendrix Experience,Are You Experienced (Deluxe Version)
Pussy Tower,Starcrawler,
Train,Starcrawler,Starcrawler
Mosquito Song,Queens of the Stone Age,Songs for the Deaf
Spirit In the Sky,Norman Greenbaum,Spirit In the Sky (Deluxe Edition)
Bring It On Home to Me,Sam Cooke,The Best of Sam Cooke
Smells Like Teen Spirit (Boombox Rehearsals),Nirvana,Nevermind (Deluxe Edition)
Different Angles,Starcrawler,Starcrawler
Mr. Blue Sky,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra
Fox on the Run,Sweet,Desolation Boulevard
What Doesn't Kill You,Jake Bugg,Shangri La
Sunday Rain,Foo Fighters,Concrete and Gold
Rollin' (Air Raid Vehicle),Limp Bizkit,Chocolate Starfish and the Hot Dog Flavored Water
Breakout,Foo Fighters,There Is Nothing Left to Lose
The Way You Used to Do,Queens of the Stone Age,Villains
Un-Reborn Again,Queens of the Stone Age,La Inmaculada
Barracuda,Heart,Little Queen
Head Like a Haunted House,Queens of the Stone Age,Lullabies to Paralyze
Ballroom Blitz,Sweet,Desolation Boulevard
Villains of Circumstance,Queens of the Stone Age,Villains
Play That Funky Music,Wild Cherry,Wild Cherry
